price,highway-mpg,city-mpg,peak-rpm,horsepower,compression-ratio,stroke,bore,engine-size,num-of-cylinders,curb-weight,height,width,length,wheel-base,normalized-losses,symboling,fuel-type_diesel,fuel-type_gas,aspiration_std,aspiration_turbo,num-of-doors_2.0,num-of-doors_4.0,body-style_convertible,body-style_hardtop,body-style_hatchback,body-style_sedan,body-style_wagon,drive-wheels_4wd,drive-wheels_fwd,drive-wheels_rwd,engine-location_front,engine-location_rear,engine-type_dohc,engine-type_l,engine-type_ohc,engine-type_ohcf,engine-type_ohcv,engine-type_rotor,fuel-system_1bbl,fuel-system_2bbl,fuel-system_4bbl,fuel-system_idi,fuel-system_mfi,fuel-system_mpfi,fuel-system_spdi,fuel-system_spfi,make_alfa-romero,make_audi,make_bmw,make_chevrolet,make_dodge,make_honda,make_isuzu,make_jaguar,make_mazda,make_mercedes-benz,make_mercury,make_mitsubishi,make_nissan,make_peugot,make_plymouth,make_porsche,make_renault,make_saab,make_subaru,make_toyota,make_volkswagen,make_volvo,make,fuel-type,aspiration,body-style,drive-wheels,engine-location
13495.0,0.2894736842105263,0.2222222222222222,0.3469387755102041,0.29439252336448596,9.0,2.68,3.47,0.26037735849056604,4,0.41117145073700545,0.08333333333333333,0.32478632478632447,0.4134328358208958,88.6,122.0,3,False,True,True,False,True,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,alfa-romero,gas,std,convertible,rwd,front
16500.0,0.2894736842105263,0.2222222222222222,0.3469387755102041,0.29439252336448596,9.0,2.68,3.47,0.26037735849056604,4,0.41117145073700545,0.08333333333333333,0.32478632478632447,0.4134328358208958,88.6,122.0,3,False,True,True,False,True,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,alfa-romero,gas,std,convertible,rwd,front
16500.0,0.2631578947368421,0.16666666666666666,0.3469387755102041,0.4953271028037383,9.0,3.47,2.68,0.3433962264150943,6,0.5178432893716058,0.38333333333333347,0.4444444444444446,0.4492537313432835,94.5,122.0,1,False,True,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,alfa-romero,gas,std,hatchback,rwd,front
13950.0,0.3684210526315789,0.3055555555555556,0.5510204081632653,0.2523364485981308,10.0,3.4,3.19,0.1811320754716981,4,0.32932505818463925,0.5416666666666666,0.5042735042735046,0.5298507462686567,99.8,164.0,2,False,True,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,audi,gas,std,sedan,fwd,front
17450.0,0.15789473684210525,0.1388888888888889,0.5510204081632653,0.3130841121495327,8.0,3.4,3.19,0.2830188679245283,5,0.5182311869666408,0.5416666666666666,0.521367521367522,0.5298507462686567,99.4,164.0,2,False,True,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,audi,gas,std,sedan,4wd,front
15250.0,0.23684210526315788,0.16666666666666666,0.5510204081632653,0.2897196261682243,8.5,3.4,3.19,0.2830188679245283,5,0.39526764934057407,0.44166666666666704,0.5128205128205127,0.5402985074626868,99.8,122.0,2,False,True,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,audi,gas,std,sedan,fwd,front
17710.0,0.23684210526315788,0.16666666666666666,0.5510204081632653,0.2897196261682243,8.5,3.4,3.19,0.2830188679245283,5,0.525989138867339,0.6583333333333338,0.9487179487179492,0.7701492537313432,105.8,158.0,1,False,True,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,audi,gas,std,sedan,fwd,front
18920.0,0.23684210526315788,0.16666666666666666,0.5510204081632653,0.2897196261682243,8.5,3.4,3.19,0.2830188679245283,5,0.5686578743211792,0.6583333333333338,0.9487179487179492,0.7701492537313432,105.8,122.0,1,False,True,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,audi,gas,std,wagon,fwd,front
23875.0,0.10526315789473684,0.1111111111111111,0.5510204081632653,0.42990654205607476,8.3,3.4,3.13,0.2641509433962264,5,0.6198603568657874,0.6750000000000002,0.9487179487179492,0.7701492537313432,105.8,158.0,1,False,True,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,audi,gas,turbo,sedan,fwd,front
16430.0,0.34210526315789475,0.2777777777777778,0.673469387755102,0.24766355140186916,8.8,2.8,3.5,0.17735849056603772,4,0.3518231186966641,0.5416666666666666,0.3846153846153845,0.5328358208955226,101.2,192.0,2,False,True,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,bmw,gas,std,sedan,rwd,front
